strain	date	iso_year	iso_week_nr	iso_week	S1_mutations	clade_membership	country	country_exposure	division	division_exposure	emerging_lineage	lineage	mutational_fitness	recency	region	region_exposure	author	accession	Health_region	location	originating_lab	submitting_lab	logistic_growth	Representative_sampling
Portugal/PT26534/2022	2022-01-24	2022	4	2022W04	28.00	21K (Omicron)	Portugal	Portugal	Beja	Beja	B.1.1.529 (Omicron)	BA.1	0.83	One week ago	Europe	Europe	INSA		ALENTEJO	Beja	ABC Algarve	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT26553/2022	2022-01-25	2022	4	2022W04	28.00	21K (Omicron)	Portugal	Portugal	Beja	Beja	B.1.1.529 (Omicron)	BA.1	0.83	One week ago	Europe	Europe	INSA		ALENTEJO	Beja	ABC Algarve	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT24537/2021	2021-12-26	2021	51	2021W51	27.00	21K (Omicron)	Portugal	Portugal	Faro	Faro	B.1.1.529 (Omicron)	BA.1	0.83	Older	Europe	Europe	INSA		ALGARVE	Portimao	ARS Algarve - Laboratorio Laura Ayres	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT25258/2022	2022-01-03	2022	1	2022W01	27.00	21K (Omicron)	Portugal	Portugal	Guarda	Guarda	B.1.1.529 (Omicron)	BA.1	0.83	Older	Europe	Europe	INSA		CENTRO	Guarda	ULS Guarda	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT25182/2022	2022-01-03	2022	1	2022W01	27.00	21K (Omicron)	Portugal	Portugal	Aveiro	Aveiro	B.1.1.529 (Omicron)	BA.1	0.83	Older	Europe	Europe	INSA		CENTRO	Aveiro	Avelab	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT25748/2022	2022-01-10	2022	2	2022W02	27.00	21K (Omicron)	Portugal	Portugal	Setubal	Setubal	B.1.1.529 (Omicron)	BA.1	0.83	One month ago	Europe	Europe	INSA		LX V TEJO	Setubal	CH Setubal	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT25256/2022	2022-01-03	2022	1	2022W01	27.00	21K (Omicron)	Portugal	Portugal	Guarda	Guarda	B.1.1.529 (Omicron)	BA.1	0.83	Older	Europe	Europe	INSA		CENTRO	Pinhel	ULS Guarda	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT24900/2022	2022-01-04	2022	1	2022W01	27.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1	0.83	Older	Europe	Europe	INSA		LX V TEJO	Sintra	H Fernando Fonseca	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT25398/2022	2022-01-11	2022	2	2022W02	27.00	21K (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	B.1.1.529 (Omicron)	BA.1	0.83	One month ago	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT25403/2022	2022-01-09	2022	1	2022W01	27.00	21K (Omicron)	Portugal	Portugal	Faro	Faro	B.1.1.529 (Omicron)	BA.1	0.83	One month ago	Europe	Europe	INSA		ALGARVE	Albufeira	CHLC	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT25391/2022	2022-01-10	2022	2	2022W02	27.00	21K (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	B.1.1.529 (Omicron)	BA.1	0.83	One month ago	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT25856/2022	2022-01-09	2022	1	2022W01	27.00	21K (Omicron)	Portugal	Portugal	Setubal	Setubal	B.1.1.529 (Omicron)	BA.1	0.83	One month ago	Europe	Europe	INSA		LX V TEJO	Palmela	UNILABS	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT25587/2022	2022-01-09	2022	1	2022W01	27.00	21K (Omicron)	Portugal	Portugal	Beja	Beja	B.1.1.529 (Omicron)	BA.1	0.83	One month ago	Europe	Europe	INSA		ALENTEJO	Beja	ABC Algarve	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT27990/2022	2022-02-06	2022	5	2022W05	27.00	21K (Omicron)	Portugal	Portugal	Beja	Beja	B.1.1.529 (Omicron)	BA.1	0.83	New	Europe	Europe	INSA		ALENTEJO	Beja	ABC Algarve	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT25091/2022	2022-01-02	2021	52	2021W52	27.00	21K (Omicron)	Portugal	Portugal	Santarem	Santarem	B.1.1.529 (Omicron)	BA.1	0.83	Older	Europe	Europe	INSA		LX V TEJO	Cartaxo	H Santarem	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT27687/2022	2022-02-07	2022	6	2022W06	27.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1	0.83	New	Europe	Europe	INSA		LX V TEJO	Lisboa	CHLC	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT25412/2022	2022-01-11	2022	2	2022W02	27.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1	0.84	One month ago	Europe	Europe	INSA		LX V TEJO	Lisboa	CHLC	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT25399/2022	2022-01-11	2022	2	2022W02	27.00	21K (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	B.1.1.529 (Omicron)	BA.1	0.83	One month ago	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT25956/2022	2022-01-18	2022	3	2022W03	27.00	21K (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	B.1.1.529 (Omicron)	BA.1	0.83	One month ago	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT26575/2022	2022-01-23	2022	3	2022W03	27.00	21K (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	B.1.1.529 (Omicron)	BA.1	0.83	One week ago	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT26439/2022	2022-01-24	2022	4	2022W04	27.00	21K (Omicron)	Portugal	Portugal	Coimbra	Coimbra	B.1.1.529 (Omicron)	BA.1	0.83	One week ago	Europe	Europe	INSA		CENTRO	Coimbra	LAC UCoimbra	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT25993/2022	2022-01-16	2022	2	2022W02	27.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1	0.83	One month ago	Europe	Europe	INSA		LX V TEJO	Vila Franca de Xira	H Vila Franca Xira	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT27940/2022	2022-02-06	2022	5	2022W05	27.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1	0.83	New	Europe	Europe	INSA		LX V TEJO	Lisboa	CHULN - H Santa Maria	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT27635/2022	2022-02-05	2022	5	2022W05	27.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1	0.86	New	Europe	Europe	INSA		LX V TEJO	Amadora	H Fernando Fonseca	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT27890/2022	2022-02-08	2022	6	2022W06	27.00	21K (Omicron)	Portugal	Portugal	Porto	Porto	B.1.1.529 (Omicron)	BA.1	0.83	New	Europe	Europe	INSA		NORTE	Porto	CH Porto - H Sto Antonio	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT27526/2022	2022-01-31	2022	5	2022W05	27.00	21K (Omicron)	Portugal	Portugal	Porto	Porto	B.1.1.529 (Omicron)	BA.1	0.83	3-7 days ago	Europe	Europe	INSA		NORTE	Vila do Conde	UNILABS	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT26585/2022	2022-01-25	2022	4	2022W04	27.00	21K (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	B.1.1.529 (Omicron)	BA.1	0.83	One week ago	Europe	Europe	INSA		CENTRO	Proenca-a-Nova	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT25911/2022	2022-01-18	2022	3	2022W03	27.00	21K (Omicron)	Portugal	Portugal	Santarem	Santarem	B.1.1.529 (Omicron)	BA.1	0.83	One month ago	Europe	Europe	INSA		LX V TEJO	Santarem	H Santarem	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.14	Weekly
Portugal/PT23457/2021	2021-12-13	2021	50	2021W50	27.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1	0.83	Older	Europe	Europe	INSA		LX V TEJO	Lisboa	H Fernando Fonseca	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.56	Weekly
Portugal/PT23455/2021	2021-12-13	2021	50	2021W50	27.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1	0.83	Older	Europe	Europe	INSA		LX V TEJO	Lisboa	H Fernando Fonseca	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.56	Weekly
Portugal/PT24186/2021	2021-12-15	2021	50	2021W50	27.00	21K (Omicron)	Portugal	Portugal	Acores	Acores	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		ACORES-RA	Angra do Heroismo	SEEBMO	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT24959/2022	2022-01-02	2021	52	2021W52	27.00	21K (Omicron)	Portugal	Portugal	Porto	Porto	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		NORTE	Porto	CH Porto - H Sto Antonio	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT24460/2021	2021-12-28	2021	52	2021W52	27.00	21K (Omicron)	Portugal	Portugal	Santarem	Santarem	B.1.1.529 (Omicron)	BA.1	0.91	Older	Europe	Europe	INSA		LX V TEJO	Santarem	H Santarem	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT25212/2022	2022-01-02	2021	52	2021W52	27.00	21K (Omicron)	Portugal	Portugal	Faro	Faro	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		ALGARVE	Olhao	ARS Algarve - Laboratorio Laura Ayres	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT24743/2021	2021-12-26	2021	51	2021W51	27.00	21K (Omicron)	Portugal	Portugal	Porto	Porto	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		NORTE	Porto	CHU Sao Joao, Porto	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT24431/2021	2021-12-27	2021	52	2021W52	27.00	21K (Omicron)	Portugal	Portugal	Setubal	Setubal	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		ALENTEJO	Sines	ULS Litoral Alentejano	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT24694/2021	2021-12-27	2021	52	2021W52	27.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1.1	0.89	Older	Europe	Europe	INSA		LX V TEJO	Sintra	H Divino Espirito Santo - Ponta Delgada	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT25765/2022	2022-01-11	2022	2	2022W02	27.00	21K (Omicron)	Portugal	Portugal	Evora	Evora	B.1.1.529 (Omicron)	BA.1	0.84	One month ago	Europe	Europe	INSA		ALENTEJO	Montemor-o-Novo	H Evora	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT25262/2022	2022-01-04	2022	1	2022W01	27.00	21K (Omicron)	Portugal	Portugal	Guarda	Guarda	B.1.1.529 (Omicron)	BA.1	0.87	Older	Europe	Europe	INSA		CENTRO	Figueira de Castelo Rodrigo	ULS Guarda	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT24881/2022	2022-01-02	2021	52	2021W52	26.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1	0.81	Older	Europe	Europe	INSA		LX V TEJO	Vila Franca de Xira	H Vila Franca Xira	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT25032/2022	2022-01-03	2022	1	2022W01	27.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		LX V TEJO	Lisboa	Labeto - CAB - Leiria	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT24954/2022	2022-01-04	2022	1	2022W01	27.00	21K (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		CENTRO	Vila de Rei	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT25906/2022	2022-01-17	2022	3	2022W03	27.00	21K (Omicron)	Portugal	Portugal	Santarem	Santarem	B.1.1.529 (Omicron)	BA.1	0.85	One month ago	Europe	Europe	INSA		LX V TEJO	Rio Maior	H Santarem	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT25981/2022	2022-01-15	2022	2	2022W02	27.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1	0.84	One month ago	Europe	Europe	INSA		LX V TEJO	Sintra	H Fernando Fonseca	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT24416/2021	2021-12-28	2021	52	2021W52	27.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		LX V TEJO	Lisboa	CHLC	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT25754/2022	2022-01-09	2022	1	2022W01	27.00	21K (Omicron)	Portugal	Portugal	Evora	Evora	B.1.1.529 (Omicron)	BA.1	0.85	One month ago	Europe	Europe	INSA		ALENTEJO	Viana do Alentejo	H Evora	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT23950/2021	2021-12-20	2021	51	2021W51	27.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		LX V TEJO	Amadora	H Fernando Fonseca	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT27761/2022	2022-02-08	2022	6	2022W06	27.00	21K (Omicron)	Portugal	Portugal	Faro	Faro	B.1.1.529 (Omicron)	BA.1	0.94	New	Europe	Europe	INSA		ALGARVE	Loule	ARS Algarve - Laboratorio Laura Ayres	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT24072/2021	2021-12-20	2021	51	2021W51	27.00	21K (Omicron)	Portugal	Portugal	Braga	Braga	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		NORTE	Guimaraes	H Guimaraes	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT25066/2022	2022-01-03	2022	1	2022W01	27.00	21K (Omicron)	Portugal	Portugal	Braga	Braga	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		NORTE	Guimaraes	H Guimaraes	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT26633/2022	2022-01-23	2022	3	2022W03	27.00	21K (Omicron)	Portugal	Portugal	Braga	Braga	B.1.1.529 (Omicron)	BA.1	0.85	One week ago	Europe	Europe	INSA		NORTE	Povoa de Lanhoso	H Braga	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT25062/2022	2022-01-02	2021	52	2021W52	27.00	21K (Omicron)	Portugal	Portugal	Braga	Braga	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		NORTE	Guimaraes	H Guimaraes	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT27781/2022	2022-02-08	2022	6	2022W06	27.00	21K (Omicron)	Portugal	Portugal	Braga	Braga	B.1.1.529 (Omicron)	BA.1	0.85	New	Europe	Europe	INSA		NORTE	Braga	H Braga	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT25461/2022	2022-01-10	2022	2	2022W02	28.00	21K (Omicron)	Portugal	Portugal	Faro	Faro	B.1.1.529 (Omicron)	BA.1	0.86	One month ago	Europe	Europe	INSA		ALGARVE	Faro	ARS Algarve - Laboratorio Laura Ayres	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT24210/2021	2021-12-20	2021	51	2021W51	27.00	21K (Omicron)	Portugal	Portugal	Acores	Acores	B.1.1.529 (Omicron)	BA.1	0.84	Older	Europe	Europe	INSA		ACORES-RA	Angra do Heroismo	SEEBMO	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT24213/2021	2021-12-20	2021	51	2021W51	27.00	21K (Omicron)	Portugal	Portugal	Acores	Acores	B.1.1.529 (Omicron)	BA.1	0.84	Older	Europe	Europe	INSA		ACORES-RA	Angra do Heroismo	SEEBMO	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT24211/2021	2021-12-20	2021	51	2021W51	27.00	21K (Omicron)	Portugal	Portugal	Acores	Acores	B.1.1.529 (Omicron)	BA.1	0.84	Older	Europe	Europe	INSA		ACORES-RA	Angra do Heroismo	SEEBMO	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT24208/2021	2021-12-19	2021	50	2021W50	27.00	21K (Omicron)	Portugal	Portugal	Acores	Acores	B.1.1.529 (Omicron)	BA.1	0.84	Older	Europe	Europe	INSA		ACORES-RA	Angra do Heroismo	SEEBMO	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	0.62	Weekly
Portugal/PT23485/2021	2021-12-13	2021	50	2021W50	27.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		LX V TEJO	Lisboa	CHLC	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT23486/2021	2021-12-13	2021	50	2021W50	27.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		LX V TEJO	Lisboa	CHLC	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT25996/2022	2022-01-17	2022	3	2022W03	27.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1	0.85	One month ago	Europe	Europe	INSA		LX V TEJO	Vila Franca de Xira	H Vila Franca Xira	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT26467/2022	2022-01-25	2022	4	2022W04	27.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1	0.85	One week ago	Europe	Europe	INSA		LX V TEJO	Vila Franca de Xira	H Vila Franca Xira	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT27592/2022	2022-02-06	2022	5	2022W05	27.00	21K (Omicron)	Portugal	Portugal	Setubal	Setubal	B.1.1.529 (Omicron)	BA.1	0.85	New	Europe	Europe	INSA		ALENTEJO	Santiago do Cacem	ULS Litoral Alentejano	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT25955/2022	2022-01-18	2022	3	2022W03	27.00	21K (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	B.1.1.529 (Omicron)	BA.1	0.84	One month ago	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT23974/2021	2021-12-19	2021	50	2021W50	27.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		LX V TEJO	Alenquer	H Vila Franca Xira	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT24296/2021	2021-12-21	2021	51	2021W51	26.00	21K (Omicron)	Portugal	Portugal	Evora	Evora	B.1.1.529 (Omicron)	BA.1	0.82	Older	Europe	Europe	INSA		ALENTEJO	Redondo	H Evora	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT25864/2022	2022-01-09	2022	1	2022W01	27.00	21K (Omicron)	Portugal	Portugal	Lisboa	Lisboa	B.1.1.529 (Omicron)	BA.1	0.85	One month ago	Europe	Europe	INSA		LX V TEJO	Vila Franca de Xira	UNILABS	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT26334/2022	2022-01-17	2022	3	2022W03	28.00	21K (Omicron)	Portugal	Portugal	Aveiro	Aveiro	B.1.1.529 (Omicron)	BA.1	0.88	One month ago	Europe	Europe	INSA		NORTE	Santa Maria da Feira	CHEDV	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT24016/2021	2021-12-19	2021	50	2021W50	27.00	21K (Omicron)	Portugal	Portugal	Faro	Faro	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		ALGARVE	Lagos	ARS Algarve - Laboratorio Laura Ayres	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT24294/2021	2021-12-21	2021	51	2021W51	27.00	21K (Omicron)	Portugal	Portugal	Evora	Evora	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		ALENTEJO	Redondo	H Evora	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT24564/2021	2021-12-27	2021	52	2021W52	27.00	21K (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT24567/2021	2021-12-27	2021	52	2021W52	27.00	21K (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT27145/2022	2022-01-30	2022	4	2022W04	27.00	21K (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	B.1.1.529 (Omicron)	BA.1	0.88	3-7 days ago	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT24568/2021	2021-12-28	2021	52	2021W52	27.00	21K (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT25392/2022	2022-01-10	2022	2	2022W02	27.00	21K (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	B.1.1.529 (Omicron)	BA.1	0.85	One month ago	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT25946/2022	2022-01-16	2022	2	2022W02	27.00	21K (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	B.1.1.529 (Omicron)	BA.1	0.85	One month ago	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT24565/2021	2021-12-27	2021	52	2021W52	27.00	21K (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	B.1.1.529 (Omicron)	BA.1	0.85	Older	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT26412/2022	2022-01-17	2022	3	2022W03	27.00	21K (Omicron)	Portugal	Portugal	Porto	Porto	B.1.1.529 (Omicron)	BA.1	0.86	One month ago	Europe	Europe	INSA		NORTE	Vila do Conde	UNILABS	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT25957/2022	2022-01-18	2022	3	2022W03	27.00	21K (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	B.1.1.529 (Omicron)	BA.1	0.85	One month ago	Europe	Europe	INSA		CENTRO	Proenca-a-Nova	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
Portugal/PT27155/2022	2022-02-01	2022	5	2022W05	27.00	21K (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	B.1.1.529 (Omicron)	BA.1	0.85	3-7 days ago	Europe	Europe	INSA		CENTRO	Serta	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	1.54	Weekly
