strain	date	iso_year	iso_week_nr	country	length	Nextstrain_clade	pangolin_lineage	Nextstrain_clade_usher	pango_lineage_usher	max_clade-1x1.0	max_clade-2x1.0	max_clade-3x1.0	avg_clade-1x1.0	avg_clade-2x1.0	avg_clade-3x1.0
USA/FL-CDC-QDX48415259/2023|OQ825235.1|2023-03-27	27/03/2023	2023	13	USA	29721	23B	BA.2	22F (Omicron)	XBB.1.16.1	cluster_441263	cluster_535410	cluster_583400	cluster_518366	cluster_337275	cluster_228427
USA/FL-CDC-QDX48587493/2023|OQ827224.1|2023-03-30	30/03/2023	2023	13	USA	29721	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4886710	singleton_4327424	cluster_626655	cluster_517948	cluster_337011	cluster_228198
USA/GA-CDC-QDX48496695/2023|OQ825368.1|2023-03-28	28/03/2023	2023	13	USA	29721	23B	BA.2	22F (Omicron)	XBB.1.16.1	cluster_441266	cluster_535413	cluster_583403	cluster_518996	cluster_337704	cluster_228609
USA/GA-CDC-QDX48496722/2023|OQ825584.1|2023-03-29	29/03/2023	2023	13	USA	29721	23B	BA.2	22F (Omicron)	XBB.1.16.1	cluster_441266	cluster_535413	cluster_583403	cluster_518996	cluster_337704	cluster_228609
USA/GA-CDC-QDX48586938/2023|OQ825934.1|2023-04-01	01/04/2023	2023	13	USA	29721	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4446017	singleton_3953139	singleton_3568665	singleton_448214	cluster_336461	cluster_227886
USA/GA-CDC-QDX48733575/2023|OQ827534.1|2023-04-02	02/04/2023	2023	13	USA	29721	23B	BA.2	22F (Omicron)	XBB.1.16.1	cluster_441261	cluster_535408	cluster_583398	cluster_517768	cluster_336868	cluster_228160
USA/HI-CDC-QDX48637207/2023|OQ827270.1|2023-03-31	31/03/2023	2023	13	USA	29723	23B	BA.2	22F (Omicron)	XBB.1.16.1	cluster_475030	cluster_575834	cluster_626657	cluster_519275	cluster_337887	cluster_228609
USA/IL-CDC-QDX47312545/2023|OQ610893.1|2023-02-27	27/02/2023	2023	9	USA	29718	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133780	singleton_3682512	singleton_3330648	singleton_448116	singleton_243032	singleton_145134
USA/IL-CDC-QDX48685611/2023|OQ827947.1|2023-04-03	03/04/2023	2023	14	USA	29721	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4886709	singleton_4327423	cluster_626655	cluster_517948	cluster_337011	cluster_228198
USA/MA-CDCBI-CRSP_VEYXSGSUMBUGV47P/2023|OQ727705.1|2023-03-20	20/03/2023	2023	12	USA	29728	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133794	singleton_3682526	singleton_3330662	singleton_449432	singleton_243716	cluster_228609
USA/MD-CDC-VSX-A065194/2023|OQ748665.1|2023-03-23	23/03/2023	2023	12	USA	29847	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4446036	singleton_3953158	singleton_3568681	cluster_517878	cluster_336957	cluster_228226
USA/MI-MDHHS-SC44070/2023|OQ682568.1|2023-03-06	06/03/2023	2023	10	USA	29603	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133781	singleton_3682513	singleton_3330649	singleton_448303	singleton_243139	singleton_145202
USA/MN-CDC-QDX48551717/2023|OQ825384.1|2023-03-28	28/03/2023	2023	13	USA	29721	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4697975	singleton_4168751	singleton_3755758	cluster_517879	cluster_336958	cluster_228198
USA/MO-CDC-QDX47771568/2023|OQ684947.1|2023-03-11	11/03/2023	2023	10	USA	29721	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4697977	singleton_4168753	cluster_626655	cluster_517948	cluster_337011	cluster_228198
USA/NC-CDC-QDX48415072/2023|OQ783974.1|2023-03-27	27/03/2023	2023	13	USA	29721	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133786	singleton_3682518	singleton_3330654	singleton_448916	singleton_243453	singleton_145373
USA/NJ-CDC-LC1035809/2023|OQ832971.1|2023-04-04	04/04/2023	2023	14	USA	28870	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133795	singleton_3682527	singleton_3330663	singleton_449479	singleton_243740	cluster_228609
USA/NJ-CDC-LC1035908/2023|OQ832960.1|2023-04-04	04/04/2023	2023	14	USA	29688	22F	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4446042	singleton_3953164	singleton_3568687	cluster_519275	cluster_337887	cluster_228609
USA/NJ-CDC-LC1036238/2023|OQ832843.1|2023-04-01	01/04/2023	2023	13	USA	29723	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133803	singleton_3682535	singleton_3330671	singleton_449913	cluster_337886	cluster_228609
USA/NJ-CDC-QDX48043255/2023|OQ713510.1|2023-03-17	17/03/2023	2023	11	USA	29721	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133815	singleton_3682547	singleton_3330683	cluster_519493	cluster_337886	cluster_228609
USA/NJ-CDC-QDX48144032/2023|OQ728603.1|2023-03-20	20/03/2023	2023	12	USA	29721	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4446041	singleton_3953163	singleton_3568686	singleton_449480	cluster_337562	cluster_228610
USA/NJ-CDC-QDX48144116/2023|OQ728515.1|2023-03-20	20/03/2023	2023	12	USA	29721	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133810	singleton_3682542	singleton_3330678	cluster_519493	cluster_337886	cluster_228609
USA/NJ-CDC-QDX48733632/2023|OQ828022.1|2023-04-04	04/04/2023	2023	14	USA	29722	23B	BA.2	22F (Omicron)	XBB.1.16.1	cluster_475029	cluster_575833	cluster_626656	cluster_517878	cluster_336957	cluster_228226
USA/NJ-CDC-VSX-A065282/2023|OQ748806.1|2023-03-27	27/03/2023	2023	13	USA	29845	23A	BA.2	22F (Omicron)	XBB.1.16.1	cluster_475029	cluster_575833	cluster_626656	cluster_517878	cluster_336957	cluster_228226
USA/NY-CDC-QDX47869972/2023|OQ705510.1|2023-03-13	13/03/2023	2023	11	USA	29721	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133816	singleton_3682548	singleton_3330684	cluster_519493	cluster_337886	cluster_228609
USA/NY-CDC-QDX48043246/2023|OQ713513.1|2023-03-17	17/03/2023	2023	11	USA	29721	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133782	singleton_3682514	singleton_3330650	singleton_448484	singleton_243233	singleton_145252
USA/NY-CDC-QDX48094657/2023|OQ728319.1|2023-03-19	19/03/2023	2023	11	USA	29721	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133811	singleton_3682543	singleton_3330679	cluster_519493	cluster_337886	cluster_228609
USA/NY-CDC-QDX48144042/2023|OQ728669.1|2023-03-20	20/03/2023	2023	12	USA	29721	23A	BA.2	22F (Omicron)	XBB.1.16.1	cluster_441261	cluster_535408	cluster_583398	cluster_517768	cluster_336868	cluster_228160
USA/NY-CDC-QDX48415136/2023|OQ825249.1|2023-03-27	27/03/2023	2023	13	USA	29721	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133806	singleton_3682538	singleton_3330674	singleton_450028	cluster_337886	cluster_228609
USA/OH-CDC-QDX47973871/2023|OQ712825.1|2023-03-14	14/03/2023	2023	11	USA	29721	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4446029	singleton_3953151	singleton_3568674	singleton_448869	cluster_337010	cluster_228198
USA/PA-CDC-LC1027064/2023|OQ660759.1|2023-03-05	05/03/2023	2023	9	USA	29714	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4446035	singleton_3953157	singleton_3568680	cluster_518149	cluster_337010	cluster_228198
USA/PA-CDC-LC1034152/2023|OQ802536.1|2023-03-29	29/03/2023	2023	13	USA	29690	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4446000	singleton_3953122	singleton_3568648	cluster_517050	cluster_336348	cluster_227792
USA/PA-CDC-QDX48587130/2023|OQ827341.1|2023-03-31	31/03/2023	2023	13	USA	29721	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4886711	singleton_4327425	cluster_626655	cluster_517948	cluster_337011	cluster_228198
USA/RI-CDC-LC1036205/2023|OQ832920.1|2023-04-03	03/04/2023	2023	14	USA	29569	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4446031	singleton_3953153	singleton_3568676	cluster_518149	cluster_337010	cluster_228198
USA/TX-CDC-QDX47594614/2023|OQ655600.1|2023-03-05	05/03/2023	2023	9	USA	29721	23A	BA.2	22F (Omicron)	XBB.1.16.1	cluster_441259	cluster_535406	cluster_583396	cluster_517297	cluster_336546	cluster_227931
USA/TX-CDC-QDX47771482/2023|OQ684985.1|2023-03-11	11/03/2023	2023	10	USA	29721	23A	BA.2	22F (Omicron)	XBB.1.16.1	cluster_441259	cluster_535406	cluster_583396	cluster_517297	cluster_336546	cluster_227931
USA/TX-CDC-QDX48496835/2023|OQ825114.1|2023-03-26	26/03/2023	2023	12	USA	29721	23B	BA.2	22F (Omicron)	XBB.1.16.1	cluster_475023	cluster_575827	cluster_626649	cluster_517111	cluster_336381	cluster_227817
USA/TX-CDC-QDX48587216/2023|OQ825723.1|2023-03-30	30/03/2023	2023	13	USA	29721	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133790	singleton_3682522	singleton_3330658	singleton_449158	singleton_243570	singleton_145436
USA/TX-CDC-QDX48733706/2023|OQ828034.1|2023-04-04	04/04/2023	2023	14	USA	29723	23B	BA.2	22F (Omicron)	XBB.1.16.1	cluster_475030	cluster_575834	cluster_626657	cluster_519275	cluster_337887	cluster_228609
USA/TX-CDC-VSX-A064973/2023|OQ691835.1|2023-03-15	15/03/2023	2023	11	USA	29847	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4446019	singleton_3953141	cluster_583395	cluster_517228	cluster_336504	cluster_227909
USA/VA-CDC-LC1030341/2023|OQ712355.1|2023-03-17	17/03/2023	2023	11	USA	29690	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133783	singleton_3682515	singleton_3330651	singleton_448535	singleton_243260	singleton_145266
USA/VA-CDC-QDX48464008/2023|OQ825436.1|2023-03-28	28/03/2023	2023	13	USA	29721	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133789	singleton_3682521	singleton_3330657	singleton_449118	singleton_243551	singleton_145425
USA/WA-CDC-LC1036446/2023|OQ852081.1|2023-03-31	31/03/2023	2023	13	USA	29535	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133802	singleton_3682534	singleton_3330670	singleton_449831	singleton_243918	cluster_228609
USA/WA-CDC-UW23030704434/2023|OQ674602.1|2023-03-07	07/03/2023	2023	10	USA	29672	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4446021	singleton_3953143	cluster_583395	cluster_517228	cluster_336504	cluster_227909
USA/WA-CDC-UW23032178303/2023|OQ833286.1|2023-03-21	21/03/2023	2023	12	USA	29672	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133792	singleton_3682524	singleton_3330660	singleton_449304	singleton_243649	singleton_145477
USA/WA-CDC-UW23032209634/2023|OQ833327.1|2023-03-22	22/03/2023	2023	12	USA	29749	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133800	singleton_3682532	singleton_3330668	singleton_449752	singleton_243879	cluster_228609
USA/WA-CDC-UW23032466470/2023|OQ833399.1|2023-03-24	24/03/2023	2023	12	USA	29672	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4446030	singleton_3953152	singleton_3568675	singleton_448917	cluster_337010	cluster_228198
USA/WA-CDC-UW23032515183/2023|OQ833441.1|2023-03-25	25/03/2023	2023	12	USA	29672	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133796	singleton_3682528	singleton_3330664	singleton_449513	singleton_243761	cluster_228609
USA/WA-CDC-UW23040359572/2023|OQ799284.1|2023-04-03	03/04/2023	2023	14	USA	29685	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4446039	singleton_3953161	singleton_3568684	cluster_518006	cluster_337009	cluster_228255
USA/WA-UW-23031107790/2023|OQ673701.1|2023-03-11	11/03/2023	2023	10	USA	29502	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133793	singleton_3682525	singleton_3330661	singleton_449347	singleton_243671	singleton_145488
USA/WA-UW-23031628432/2023|OQ704103.1|2023-03-16	16/03/2023	2023	11	USA	29496	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133817	singleton_3682549	singleton_3330685	cluster_519493	cluster_337886	cluster_228609
USA/WI-CDC-LC1036965/2023|OQ852291.1|2023-04-08	08/04/2023	2023	14	USA	29445	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133799	singleton_3682531	singleton_3330667	singleton_449705	singleton_243856	cluster_228609
USA/WI-CDC-VSX-A065209/2023|OQ748644.1|2023-03-22	22/03/2023	2023	12	USA	29847	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4886704	singleton_4327418	singleton_3891593	cluster_518150	cluster_337053	cluster_228281
Wales/PHWC-PKP8ZC/2023|2023-03-01	01/03/2023	2023	9	Wales		23A	XBB.1.16.1	22F (Omicron)	XBB.1.16.1	cluster_475028	cluster_575832	cluster_626654	cluster_517715	cluster_336833	cluster_228136
Wales/PHWC-PKPDPF/2023|2023-03-04	04/03/2023	2023	9	Wales		23A	XBB.1.16.1	22F (Omicron)	XBB.1.16.1	cluster_475028	cluster_575832	cluster_626654	cluster_517715	cluster_336833	cluster_228136
Wales/PHWC-PKPG7B/2023|2023-03-01	01/03/2023	2023	9	Wales		23A	XBB.1.16.1	22F (Omicron)	XBB.1.16.1	cluster_475028	cluster_575832	cluster_626654	cluster_517715	cluster_336833	cluster_228136
Wales/PHWC-PKQ9WA/2023|2023-03-22	22/03/2023	2023	12	Wales		23A	BA.2	22F (Omicron)	XBB.1.16.1	cluster_475025	cluster_575829	cluster_626651	cluster_517229	cluster_336461	cluster_227886
Wales/PHWC-PKX1RR/2023|2023-04-08	08/04/2023	2023	14	Wales		23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133807	singleton_3682539	singleton_3330675	cluster_519493	cluster_337886	cluster_228609
Wales/PHWC-PKX8C9/2023|2023-04-01	01/04/2023	2023	13	Wales		23A	BA.2	22F (Omicron)	XBB.1.16.1	cluster_475025	cluster_575829	cluster_626651	cluster_517229	cluster_336461	cluster_227886
Wales/PHWC-PKXKYW/2023|2023-03-30	30/03/2023	2023	13	Wales		23A	BA.2	22F (Omicron)	XBB.1.16.1	cluster_475025	cluster_575829	cluster_626651	cluster_517229	cluster_336461	cluster_227886
Wales/PHWC-PKXPUK/2023|2023-03-29	29/03/2023	2023	13	Wales		23A	BA.2	22F (Omicron)	XBB.1.16.1	cluster_475025	cluster_575829	cluster_626651	cluster_517229	cluster_336461	cluster_227886
